crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
2025-01-19,11:46:00,Unknown,,40.75455,-73.96252,"(40.75455, -73.96252)",FDR DRIVE,,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4787239,Sedan,Sedan,,,,11,2025,2025-01
2018-08-15,13:27:00,QUEENS,11416,40.681858,-73.84672,"(40.681858, -73.84672)",93 STREET                       ,103 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3962661,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,13,2018,2018-08
2025-07-21,06:00:00,QUEENS,11374,40.724247,-73.866104,"(40.724247, -73.866104)",63 DR,CARLTON ST,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4829320,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,6,2025,2025-07
2024-02-14,16:50:00,Unknown,,,,,WHITESTONE EXPRESSWAY,20 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4702570,Sedan,Station Wagon/Sport Utility Vehicle,,,,16,2024,2024-02
2017-09-30,19:25:00,Unknown,,40.7626,-73.78826,"(40.7626, -73.78826)",194 STREET                      ,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3760434,Sedan,Sedan,Sedan,,,19,2017,2017-09
2017-01-29,22:23:00,BRONX,10473,40.826385,-73.84345,"(40.826385, -73.84345)",,,901       ZEREGA AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3606380,Carry All,Station Wagon/Sport Utility Vehicle,,,,22,2017,2017-01
2019-03-14,21:33:00,MANHATTAN,10023,40.777973,-73.98216,"(40.777973, -73.98216)",AMSTERDAM AVENUE                ,WEST 71 STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Other Vehicular,,,,4097113,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,21,2019,2019-03
2024-04-20,07:25:00,Unknown,,40.662296,-73.98874,"(40.662296, -73.98874)",PROSPECT EXPRESSWAY EAST,,,1,0,0,0,0,0,1,0,Driver Inexperience,,,,,4718645,Sedan,,,,,7,2024,2024-04
2019-11-29,04:25:00,Unknown,,40.75974,-73.93195,"(40.75974, -73.93195)",CRESCENT STREET                 ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4249763,Station Wagon/Sport Utility Vehicle,,,,,4,2019,2019-11
2016-04-19,07:00:00,BRONX,10456,,,,EAST 167 STREET                 ,TELLER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Turning Improperly,,,,3412409,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,7,2016,2016-04
